,Date,Location,Tour,Track,Album
0,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,Looney Tunes,#N/A
1,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,The Equalizer,#N/A
16,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
19,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,Wish You Were Here,#N/A
25,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,The Seeker,#N/A
27,"March 3, 2017 ","Autism Rocks Arena, Dubai, United Arab Emirates",Not in This Lifetime,Far Away Eyes,#N/A
28,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,Looney Tunes,#N/A
29,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,The Equalizer,#N/A
44,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
47,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,Wish You Were Here,#N/A
54,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,The Seeker,#N/A
56,"February 28, 2017 ","SCG Stadium, Nonthaburi, Thailand",Not in This Lifetime,Far Away Eyes,#N/A
57,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,Looney Tunes,#N/A
58,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,The Equalizer,#N/A
73,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
77,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,Wish You Were Here,#N/A
83,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,The Seeker,#N/A
85,"February 25, 2017 ","Changi Exhibition Centre, Singapore, Singapore",Not in This Lifetime,Far Away Eyes,#N/A
86,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,Looney Tunes,#N/A
87,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,The Equalizer,#N/A
102,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
106,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,Wish You Were Here,#N/A
112,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,The Seeker,#N/A
114,"February 21, 2017 ","Domain Stadium, Perth, Australia",Not in This Lifetime,Far Away Eyes,#N/A
115,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,Looney Tunes,#N/A
116,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,The Equalizer,#N/A
131,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
134,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,Wish You Were Here,#N/A
141,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,The Seeker,#N/A
143,"February 18, 2017 ","Adelaide Oval, Adelaide, Australia",Not in This Lifetime,Far Away Eyes,#N/A
144,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Looney Tunes,#N/A
145,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,The Equalizer,#N/A
159,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Slash Guitar Solo,#N/A
160,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
162,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Whole Lotta Rosie,#N/A
163,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Riff Raff,#N/A
164,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Wish You Were Here,#N/A
170,"February 14, 2017 ","Melbourne Cricket Ground, Melbourne, Australia",Not in This Lifetime,Far Away Eyes,#N/A
171,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Looney Tunes,#N/A
172,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,The Equalizer,#N/A
188,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Speak Softly Love (Love Theme From The Godfather),#N/A
190,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Whole Lotta Rosie,#N/A
191,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Riff Raff,#N/A
192,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,Wish You Were Here,#N/A
197,"February 11, 2017 ","ANZ Stadium, Sydney, Australia",Not in This Lifetime,The Seeker,#N/A
